timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/09/23 20:58:21.712, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5284 MiB, 16303 MiB, 55
2026/09/23 20:58:23.716, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5290 MiB, 16303 MiB, 55
2026/09/23 20:58:25.717, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5237 MiB, 16303 MiB, 57
2026/09/23 20:58:27.717, NVIDIA GeForce RTX 5080 Laptop GPU, 96 %, 5237 MiB, 16303 MiB, 56
2026/09/23 20:58:29.717, NVIDIA GeForce RTX 5080 Laptop GPU, 96 %, 5216 MiB, 16303 MiB, 57
2026/09/23 20:58:31.718, NVIDIA GeForce RTX 5080 Laptop GPU, 87 %, 5216 MiB, 16303 MiB, 57
2026/09/23 20:58:33.718, NVIDIA GeForce RTX 5080 Laptop GPU, 91 %, 5216 MiB, 16303 MiB, 58
2026/09/23 20:58:35.718, NVIDIA GeForce RTX 5080 Laptop GPU, 82 %, 5216 MiB, 16303 MiB, 57
2026/09/23 20:58:37.719, NVIDIA GeForce RTX 5080 Laptop GPU, 57 %, 5216 MiB, 16303 MiB, 58
2026/09/23 20:58:39.719, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5216 MiB, 16303 MiB, 58
2026/09/23 20:58:41.719, NVIDIA GeForce RTX 5080 Laptop GPU, 95 %, 5165 MiB, 16303 MiB, 59
2026/09/23 20:58:43.719, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5268 MiB, 16303 MiB, 58
2026/09/23 20:58:45.720, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5165 MiB, 16303 MiB, 58
2026/09/23 20:58:47.720, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5268 MiB, 16303 MiB, 59
2026/09/23 20:58:49.720, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5268 MiB, 16303 MiB, 59
2026/09/23 20:58:51.720, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5268 MiB, 16303 MiB, 60
2026/09/23 20:58:53.720, NVIDIA GeForce RTX 5080 Laptop GPU, 83 %, 5216 MiB, 16303 MiB, 61
2026/09/23 20:58:55.721, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5268 MiB, 16303 MiB, 60
2026/09/23 20:58:57.721, NVIDIA GeForce RTX 5080 Laptop GPU, 50 %, 5216 MiB, 16303 MiB, 60
2026/09/23 20:58:59.721, NVIDIA GeForce RTX 5080 Laptop GPU, 37 %, 5216 MiB, 16303 MiB, 62
2026/09/23 20:59:01.721, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5165 MiB, 16303 MiB, 61
2026/09/23 20:59:03.722, NVIDIA GeForce RTX 5080 Laptop GPU, 96 %, 5165 MiB, 16303 MiB, 61
2026/09/23 20:59:05.722, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5268 MiB, 16303 MiB, 61
2026/09/23 20:59:07.722, NVIDIA GeForce RTX 5080 Laptop GPU, 60 %, 5165 MiB, 16303 MiB, 62
2026/09/23 20:59:09.722, NVIDIA GeForce RTX 5080 Laptop GPU, 96 %, 5165 MiB, 16303 MiB, 62
2026/09/23 20:59:11.723, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5268 MiB, 16303 MiB, 61
2026/09/23 20:59:13.723, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5267 MiB, 16303 MiB, 61
2026/09/23 20:59:15.723, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5165 MiB, 16303 MiB, 62
2026/09/23 20:59:17.723, NVIDIA GeForce RTX 5080 Laptop GPU, 91 %, 5216 MiB, 16303 MiB, 62
2026/09/23 20:59:19.724, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5165 MiB, 16303 MiB, 62
2026/09/23 20:59:21.724, NVIDIA GeForce RTX 5080 Laptop GPU, 96 %, 5165 MiB, 16303 MiB, 62
2026/09/23 20:59:23.724, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5165 MiB, 16303 MiB, 63
2026/09/23 20:59:25.724, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5165 MiB, 16303 MiB, 62
2026/09/23 20:59:27.724, NVIDIA GeForce RTX 5080 Laptop GPU, 72 %, 5165 MiB, 16303 MiB, 63
2026/09/23 20:59:29.725, NVIDIA GeForce RTX 5080 Laptop GPU, 58 %, 5165 MiB, 16303 MiB, 62
2026/09/23 20:59:31.725, NVIDIA GeForce RTX 5080 Laptop GPU, 39 %, 5165 MiB, 16303 MiB, 62
2026/09/23 20:59:33.725, NVIDIA GeForce RTX 5080 Laptop GPU, 40 %, 5165 MiB, 16303 MiB, 63
2026/09/23 20:59:35.726, NVIDIA GeForce RTX 5080 Laptop GPU, 84 %, 5165 MiB, 16303 MiB, 63
2026/09/23 20:59:37.726, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5165 MiB, 16303 MiB, 62
2026/09/23 20:59:39.726, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5267 MiB, 16303 MiB, 63
2026/09/23 20:59:41.727, NVIDIA GeForce RTX 5080 Laptop GPU, 74 %, 5216 MiB, 16303 MiB, 63
2026/09/23 20:59:43.727, NVIDIA GeForce RTX 5080 Laptop GPU, 66 %, 5267 MiB, 16303 MiB, 64
2026/09/23 20:59:45.727, NVIDIA GeForce RTX 5080 Laptop GPU, 93 %, 5267 MiB, 16303 MiB, 63
2026/09/23 20:59:47.727, NVIDIA GeForce RTX 5080 Laptop GPU, 93 %, 5216 MiB, 16303 MiB, 63
2026/09/23 20:59:49.728, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5294 MiB, 16303 MiB, 63
2026/09/23 20:59:51.728, NVIDIA GeForce RTX 5080 Laptop GPU, 64 %, 5391 MiB, 16303 MiB, 64
2026/09/23 20:59:53.728, NVIDIA GeForce RTX 5080 Laptop GPU, 72 %, 5352 MiB, 16303 MiB, 64
